id	text	cat
764	Evince my gratitude ! 	b
765	Oh no ; these brighter visions vast 	b
766	IN MEMORY OF 	b
767	' 1 '11 win thee 'gainst thy will. 	b
768	Ere his quivering limbs, all foam-flecked, 	b
769	They say, ' Zalona celebrates 	b
770	For Nature's sad reality, 	b
771	And on its green bank, bathed in gore, 	b
772	Have slaves subdued the free? 	b
773	Beneath the church-aisle stone, 	b
774	And Truth may rudely trample down 	b
775	And thou for being alone.' 	b
776	lut dreary, strange, and pale and cold. 	b
777	It tumbled in an inky sea. 	b
778	which it is stayed. 	b
779	' AYE there it is ! it wakes to-night 	b
780	Deep feelings I thought dead ; 	b
781	That lulling monotone did sing 	b
782	To cover deeds untrue, 	b
783	My lonely years had known. 	b
784	And by thine eyes' full gaze, 	b
785	And by the words thou scarce dost speak, 	b
786	The anguish in my breast, 	b
787	Besides the mist is half withdrawn, 	b
788	The moon of summer pours 	b
789	I weary for that land divine, 	b
790	O'er each familiar tower. 	b
791	1 It is hope's spell that glorifies, 	b
792	That welled from mortal grief, I knew 	b
793	I HAVE gone backward in the work, 	b
794	The whisper of its fall : 	b
795	But those were in the early glow 	b
796	From thine own influence free ; 	b
797	That clay he feels will not for ever 	b
798	Come, leave thy dwelling dark and cold, 	b
799	1 Thus truly, when that breast is cold, 	b
800	Thy prisoned soul shall rise ; 	b
801	The dungeon mingle with the mould 	b
802	Dire region of most mighty woe, 	b
803	And is her mirror broke at last 	b
804	Quietly fed in grassy dells ; 	b
805	One glimpse of that unearthly form 	b
806	It treads a forest wide, 	b
807	The ardent, and the happy breast, 	b
808	The sullen clouds lay all unbroken 	b
809	And though its wind repining grieved, 	b
810	For ever on my heart ! 	b
811	The holly is dark when the rose-brier blooms, 	b
812	Hopes quenched, and rising thoughts subdued, 	b
813	* And hope can hardly deck the cheek 	b
814	And in the zenith of his fame 	b
815	And just like his its ringlets bright, 	b
816	Oppressive mystery hung ; 	b
817	Though wasted sore with sorrow, 	b
818	What do these brazen tongues proclaim ? 	b
819	One task alone remains thy pictured face to view, 	b
820	THE ELDER'S REBUKE 	b
821	For nothing nearer paradise 	b
822	Yes, by the tears I Ve poured, 	b
823	Kneeling on the blood-stained heath 	b
824	Watch life's bubbles float away : 	b
825	To rouse its flickering radiance higher ; 	b
826	Comes on the increasing roar ! 	b
827	Oh, in the days of ardent youth 	b
828	Their dark, their deadly ray would more than 	b
829	Where that perished sapling used to be ; 	b
830	Remembrance of his early home 	b
831	Pondered and approved at last : 	b
832	Thank the power that banished thee ; 	b
833	* Glorious is the prize of Duty, 	b
834	Are quenched in morning dull and grey? 	b
835	Thy comrades to the camp retire ; 	b
836	Rests such a shade of deep despair, 	b
837	Youth's early sunshine was poured on his 	b
838	She sat without the grated den, 	b
839	A winter's night. 	b
840	Heedless feet to gulfs of crime. 	b
841	For those whose bodies rest in sleep, 	b
842	That from which it sprung Eternity. 	b
843	When stealing on to lady's bower, 	b
844	With looks and smiles divine ! 	b
845	Far down from heaven its silver flood 	b
846	That wherever I wander, my heart is with thee. 	b
847	4 The lays I love so well.' 	b
848	Virtue is not won by fears.' 	b
849	Thoughts shut within the silent tomb, 	b
850	So would I fearful vigil keep, 	b
851	To send to hell my mortal foe. 	b
852	Walked by the lightsome touch of pleasure : 	b
853	Had he ne'er met a gentler teacher, 	b
854	I saw the burning sunshine fall, 	b
855	In his most burning mood ; 	b
856	Heavy and dull as lead. 	b
857	Might haply dawn above ; 	b
858	Brenzaida's crest is down ; 	b
859	To leave its clay a little while, 	b
860	Can take the bliss that has been given, 	b
861	True to myself, and true to all, 	b
862	It was not hope that wrecked at once 	b
863	That never would cloud the world of day. 	b
864	The cold corpse from its funeral pall, 	b
865	A glorious child again ; 	b
866	And draw his tired gaze from futurity ? 	b
867	And black the piles of rain-clouds lour 	b
868	That glory-shedding star shall glow 	b
869	Where sinless sunshine lay : 	b
870	So softly evening blends with night, 	b
871	And seek a rough and lonely way ; 	b
872	First melted off the hope of youth, 	b
873	Nor mirth, nor music wakes my halls. 	b
874	They whispered nought, but, ' Lady, sleep, 	b
875	When it bears my slumbering child. 	b
876	Strikes the strings resistlesslyt 	b
877	The deep-down sea with sudden sound 	b
878	Calm this resentful mood ; 	b
879	Darkening all my summer skies, 	b
880	For well he knew what dangers frowned, 	b
881	All full of God thy features shine. 	b
882	The glad birds carolled clear ; 	b
883	Between his port and him. 	b
884	My name is on a million tongues, 	b
885	And nothing but that agony 	b
886	In daisied lawns sleep peacefully, 	b
887	And solemn, soothing, softened airs, 	b
888	* Others have been thou mayst be there. ' 	b
889	Incline thee to my changeful will, 	b
890	Thank the power that made thee part 	b
891	Because I could not save. 	b
892	It recks not now, when all is over : 	b
893	The woodland park around it spread, 	b
894	A mourner still, though friend and lover 	b
895	And there it lightens ! Dashed with gore 	b
896	We would not leave our nature home 	b
897	As if through all the 'wildering maze 	b
898	Time parts the heart of men. 	b
899	' Dearest, ever deem me true ' ; 	b
900	And makes the shout of victory 	b
901	Remoter still am I from Thee j 	b
902	And on a strange road journeyed on, 	b
903	might my eyes with tears run o'er ! 	b
904	And makes me strong to undergo 	b
905	But cold cold is that resting-place, 	b
906	Saw those tokens on the ground. 	b
907	And dear to me, aye doubly dear, 	b
908	O'er bower and trees that orb divine 	b
909	Thy eternal Justice found ! 	b
910	And sworn friends fall from me : 	b
911	A memory whose blighting beam 	b
912	The fate was cruel which bore 	b
913	To see her cheek's returning glow ; 	b
914	I saw her stand in the gallery long, 	b
915	Sleep on ; Heaven laughs above, 	b
916	A noble victory you shall sing 	b
917	He almost deemed, might have throbbed again 	b
918	Part human company ; 	b
919	And render up life's tiresome load. 	b
920	That by the death of my dearest treasures 	b
921	Through the wan autumnal sky ; 	b
922	I saw his hoof-prints mark the rock, 	b
923	But this shall be the only time 	b
924	I can tear my soul from its mould of clay, 	b
925	Hush its whispers in your breast ; 	b
926	1 should be where I wish to be. 	b
927	Crushed helpless into earth and Dust ! 	b
928	Full many an eye watched over me, 	b
929	Does sudden silence chill the room ? 	b
930	My whole heart centred there ; 	b
931	If you forget the sacred vows 	b
932	Then let me not despair ; 	b
933	Such as their lips could only pour, 	b
934	Beneath whose noble dome 	b
935	Have anchored safe, and rest at last 	b
936	His dark, keen eyes on Percy gaze 	b
937	Gone ! 'tis a word which through life's troubled 	b
938	Say how long my sleep has been ? 	b
939	Has warmed and blest me long : 	b
940	Would bring its after-storm of pain. 	b
941	Shall set my spirit free, 	b
942	And nerved, like mine, to kill ; 	b
943	The elm-tree by the haunted well 	b
944	THE LADY TO HER GUITAR 	b
945	And green light slept on the happy earth, 	b
946	I know our souls are all divine, 	b
947	To wander far away ; 	b
948	It is stilled above the slain. 	b
949	Sighing, mourning ever more. 	b
950	And his fiery heart aroused panting. 	b
951	Nor hurt thy soul eternally. 	b
952	Resounded far and near : 	b
953	These ceaseless tears ! I wish their flow 	b
954	This voice, though never heard before, 	b
955	How little fraught with real ill, 	b
956	And we together sadly sank 	b
957	The earth as golden, green, and fair, 	b
958	What joyous fete begun, 	b
959	And cheerfully go out to play. 	b
960	HEAVY hangs the rain-drop 	b
961	Pours black reproach on^me : 	b
962	Exhaust thy life and hold thee here. 	b
963	The reckless man would pray ; 	b
964	Of his unquenched, unclouded blaze, 	b
965	* Her heart is beating,' Lesley said, 	b
966	And heavy throbs the young heart 	b
967	And then I go to prove if God, at least, be true ! 	b
968	O'er wood and wold o'er flood and fell, 	b
969	The choking sob, the tortured moan. 	b
970	I need not yield to care, 	b
971	So lost that not a gleam may come. 	b
972	Frowning on the infant, 	b
973	Whose windows looked on the minster-yard, 	b
974	A bleak November's calm. 	b
975	That melancholy boy. 	b
976	GODS of the old mythology 	b
977	The stranger would not turn away, 	b
978	Long ere the poison-tainted air 	b
979	Chasing angry thought away. 	b
980	Where thou dost stand an hour ago, 	b
981	A deeper cup of bitterer pain ; 	b
982	On golden summer's forests green, 	b
983	'Twas grief enough to think mankind 	b
984	It might not be so drear, 	b
985	Has never wooed to blow, 	b
986	Scentless are thy petals, 	b
987	Can watch the lustre leave its skies 	b
988	The cannon with unceasing crash 	b
989	Not one voice sobs * farewell ' ; 	b
990	Barren is thy beauty, 	b
991	So heaven's sun shines in thee. 	b
992	Forget, forsake, refuse to hear ! 	b
993	You both were vainly given : 	b
994	I saw the light decay. 	b
995	YET o'er his face a solemn light 	b
996	Stanzas 5 and 6 have been crossed out in the manuscript. 	b
997	From trampling on thy buried breast. 	b
998	And bounding down the marble stair. 	b
999	That none can pass again. 	b
1000	His banners all bravely flying ; 	b
1001	And cheered his host by adding stern 	b
1002	Why, Seraph, has thine erring wing 	b
1003	Wafted thee down to weep with him ? 	b
1004	IT *s over now ; I Ve known it all ; 	b
1005	Nor do I come to mingle tears ; 	b
1006	But sweet is day, though with shadows 	b
1007	To feel the frost-wind blow ! 	b
1008	Yet the grass before the door 	b
1009	But never more look up and see 	b
1010	Her darling child from her embrace 	b
1011	Will then like virtues shine ; 	b
1012	* Heavy and dark the night is closing ; 	b
1013	Heavy and dark may its bidding be : 	b
1014	May I never tread the hills again. 	b
1015	Or how in exile misery 	b
1016	' Watch in love by a fevered pillow, 	b
1017	When heaven repels my prayer, 	b
1018	Safe as the petrel on tossing billow, 	b
1019	Like summer's sunshine o'er a hill, 	b
1020	( Guardian-angel he lacks no longer ; 	b
1021	From his last hopeless agony, 	b
1022	Eclipsed the glory of the sky, 	b
1023	And my love is truer than angel-care.' 	b
1024	And all the joyous music breathing by, 	b
1025	The place, the hour the same ; 	b
1026	How canst thou linger now ? 	b
1027	And stars were in the depth of blue, 	b
1028	'Tis true she stands among the crowd, 	b
1029	Even so, Guitar, thy magic tone 	b
1030	The little lamp burns straight, its rays shoot 	b
1031	And wept above thy fate the more 	b
1032	Flung streaks of moonshine here and there. 	b
1033	Your eyelids droop, a weight is on your brow ; 	b
1034	Woe to the gifted, crime to the giver, 	b
1035	And singing birds and sighing trees, 	b
1036	And dim the hearts that slowly die. 	b
1037	Spent in her Eden Isle 	b
1038	Passed with the ray whose shine it caught ; 	b
1039	What loves me, no word of mine shall e'er betray, 	b
1040	When, severed wide by guiltless gore, 	b
1041	And all their myriad voices 	b
1042	I heard it then, you heard it too, 	b
1043	He for whom I wait, thus ever comes to me ; 	b
1044	Strange Power ! I trust thy might ; trust thou my 	b
1045	Looks from its golden frame ; 	b
1046	And that wide west has waked a word 	b
1047	But listen ! The earth is our campaign of war, 	b
1048	Whose sombre portal hides the light, 	b
1049	Clings Percy's wounded spirit so : 	b
1050	I shall not tread again the deep glens where it 	b
1051	The narrow dungeon of the dead, 	b
1052	A silence settled on the room, 	b
1053	Across the waters of despair 	b
1054	And quench the lamp and stir the fire, 	b
1055	Nor, through long hours of future pain, 	b
1056	Her kind face o'er thee shine ? 	b
1057	Have wrapt the parent orb away. 	b
1058	And give me liberty ! ' 	b
1059	Greets no returning summer skies ; 	b
1060	But yet faint not, mournful man ; 	b
1061	And from that world of heavenly light 	b
1062	To guide us in our lifetime's night, 	b
1063	Drowsy and dark my spirit lies, 	b
1064	But, ere night darkened down 	b
1065	Thou wert so bright and fair, 	b
1066	Yet could I with past pleasures 	b
1067	With blue and ghostly gleams, 	b
1068	Remorse even now may wake within 	b
1069	' Well there is rest there, 	b
1070	For there are angels weeping ; 	b
1071	The streets are crowded all, 	b
1072	Our children felt their fathers' wretchedness ; 	b
1073	Its unsustaining vastness waxes drear ; 	b
1074	And curb my own wild will. 	b
1075	True heart and brow unmarked by time, 	b
1076	The law that bade it not defy. 	b
1077	And called on Heaven to aid 	b
1078	With such a fervent zeal, 	b
1079	The clouded forms of long-past history. 	b
1080	It always walks with head declined, 	b
1081	It vexes me to choose another guide : 	b
1082	Their breasts have burst through the battle's 	b
1083	Their ghostly fingers flecked with snow, 	b
1084	What have those lonely mountains worth reveal- 	b
1085	But a wild bird sprang from his hidden lair, 	b
1086	The earth that wakes one human heart to feeling 	b
1087	Though time should change my youthful face, 	b
1088	THE following are the last lines my sister Emily ever wrote. 	b
1089	No coward soul is mine, 	b
1090	AND like myself lone, wholly lone, 	b
1091	I see Heaven's glories shine, 	b
1092	He hears the stream its waters fling ; 	b
1093	I 'M standing in the forest now, 	b
1094	Almighty, ever-present Deity ! 	b
1095	But a brave heart, with a tarnished name, 	b
1096	The splendour of the main, 	b
1097	They did not dare to smile. 	b
1098	That move men's hearts : unutterably vain ; 	b
1099	With windows yawning on intenser gloom, 	b
1100	When thy stream was troubled, did mine calmly 	b
1101	The wind blew fresh and free. 	b
1102	And forms and faces lost for ever 	b
1103	A thousand dreams of mind. 	b
1104	The steadfast rock of immortality. 	b
1105	Or, with strained ear, to catch the shock, 	b
1106	MILD the mist upon the hill, 	b
1107	Pervades and broods above, 	b
1108	Changes, sustains, dissolves, creates, and rears. 	b
1109	Hath moved the tear and waked the sigh ; 	b
1110	They kindled the perishing ember 	b
1111	And Thou were left alone, 	b
1112	That love, which will the wicked greet 	b
1113	The oath within that caverned hall, 	b
1114	And from the midst of cheerless gloom, 	b
1115	One calm hour on the brink of life 	b
1116	With thy mind's vision pierce the deep, 	b
1117	Eternal midnight there. 	b
1118	OPPRESSED with sin and woe, 	b
1119	And madness cannot feel thy scorn, 	b
1120	I longed to view that bliss divine 	b
1121	And often when the sun declines 	b
1122	The ghastly night, the ghastlier morrow, 	b
1123	Her wavy hair on her shoulders bare, 	b
1124	The burning tears that would keep welling, 	b
1125	That stains our standard green ? 	b
1126	Living in the depth of Heaven ; 	b
1127	As if each gasp were life expelling, 	b
1128	Like sudden ghosts, to memory came 	b
1129	'Tis nothing to eternity : 	b
1130	Mighty heaven, a glad avenger 	b
1131	Death comes on every wind. 	b
1132	That would not mourn the dead. 	b
1133	Thickening above me evermore. 	b
1134	Has neared its final close, 	b
1135	No tongue would ask, no eye would mourn ; 	b
1136	But mutely trace its airy way, 	b
1137	At last refused to mourn. 	b
1138	And summer days again begin 	b
1139	Changing, and still the same, yet swiftly passing. 	b
1140	The wild wind from that wavy main 	b
1141	I never thought to see again. 	b
1142	Bless thee, bright Sea, and glorious dome, 	b
1143	And thinks he of Patrician pride, 	b
1144	My voice is choked, but not with grief, 	b
1145	Bright, but yet sullied, love which could never 	b
1146	I know my mountain breezes 	b
1147	Deepened the gloom of evening's sky, 	b
1148	And, were they forged in steel, they could not hold 	b
1149	The long grass bending where I lay, 	b
1150	And in the heath or mountain far 	b
1151	The goats fly by with timid cry, 	b
1152	His golden days left long behind. 	b
1153	But then it was a calmer woe, 	b
1154	'Tis many a year, 'tis long ago, 	b
1155	A dream of what had been before j 	b
1156	Was that in which the summer sheen 	b
1157	Ungoverned nature madly spurned 	b
1158	Memory of feelings past, 	b
1159	Often I 've sat down on the ground, 	b
1160	Gazing up to the flush scarce seen, 	b
1161	Those bounding breasts that grief should thrill 	b
1162	Then died away, nor came again ; 	b
1163	Thy deep, unutterable woe? 	b
1164	But my sad heart must ever mourn 	b
1165	It sought thy father's home and mine 	b
1166	As I remembered it of old. 	b
1167	And dreamy scents of fragrance pass 	b
1168	Come back the feelings that would swell, 	b
1169	FAR away is the land of rest 	b
1170	They would have done it had they known 	b
1171	Oh ! I shall weary for the light 	b
1172	I howled, and tore my tangled hair ; 	b
1173	Time has turned the bloom to grey, 	b
1174	Lay in unspeakable despair. 	b
1175	of New York in 1902. 	b
1176	Then 'twas first my nursling smiled ; 	b
1177	But both without a murmur there 	b
1178	But her father smiled on the fairest child 	b
1179	WHAT winter floods, what streams of spring 	b
1180	winds coldly mourn 	b
1181	Dead, dead is my joy, 	b
1182	Might embrace in love again ; 	b
1183	To see that water shine ; 	b
1184	But sighing it murmurs, * Let memory perish, 	b
1185	IN the same place, when nature wore 	b
1186	And nothing on the summer gale 	b
1187	The dearest to a mountaineer 	b
1188	For, if your former words were true, 	b
1189	I cannot say my faith is strong, 	b
1190	Now might we doubt God's guardian 	b
1191	Those wondrous southern Isles to hail, 	b
1192	Behold he sinks away ! 	b
1193	LORD of Elbe, on Elbe hill 	b
1194	The mist is thick and the wind is chill ; 	b
1195	More wakeful heart and eyelids grew. 	b
1196	Has sighed for sorrow that thou wert away. 	b
1197	And in his hair the south wind blows, 	b
1198	And hopeless comes its dark decline, 	b
1199	Oh, we are listening for a sound, 	b
1200	Moans as the night gusts over it blow. 	b
1201	Till each far-down reflection is 	b
1202	I see them far off, and it deepens the gloom ; 	b
1203	An undefined, an awful dream, 	b
1204	Where chill, chill whiteness covered all, 	b
1205	In unexhausted woe. 	b
1206	In darkness long concealed, 	b
1207	Would now be tossing under me. 	b
1208	I will not question, only say 	b
1209	But thou art now on the desolate sea, 	b
1210	Regive him shadowy gleams of infancy 	b
1211	Of love too warm, and wild, and bright. 	b
1212	The Herons are flown to their trees by the Hall ; 	b
1213	COLD, clear, and blue the morning heaven 	b
1214	Will give me to a darker doom ; 	b
1215	Through a sky of cloudy grey. 	b
1216	Reflects that winter sky : 	b
1217	In glimpses of a spirit shore 	b
1218	A silent, silvery star. 	b
1219	And I have long forgot to weep. 	b
1220	Sweetly has its dawn begun ; 	b
1221	But the heaven may shake with thunder 	b
1222	Himself restored to infancy? 	b
1223	To leave my lonely halls ! ' 	b
1224	Bless thee, bless all I cannot speak ; 	b
1225	For the moon now beaming mild above 	b
1226	Go, shed thy tears in Ocean's wave 	b
1227	From that wide heaven where every star 	b
1228	IF grief for grief can touch thee, 	b
1229	One hour, my spirit, stretch thy wings 	b
1230	Within their perfumed bower, 	b
1231	Of sorrows gathering near, 	b
1232	From her stately form and her features rare, 	b
1233	And young leaves shoot among the fern. 	b
1234	The twilight fading from the skies, 	b
1235	What ! shall they carve on his tomb with the sword 	b
1236	How thou didst turn in mockery 	b
1237	Sparkling in sunshine and in dew, 	b
1238	Had its waters worn the shore. 	b
1239	Methinks the mellowing haze of years 	b
1240	No doubt had marr'd my word ; 	b
1241	TELL me, tell me, smiling child, 	b
1242	What the past is like to thee? 	b
1243	As glancing o'er the moorland track, 	b
1244	Something in that ancestral pride 	b
1245	Tell me what is the present hour? 	b
1246	A green and flowery spray, 	b
1247	Where a young bird sits gathering its power 	b
1248	Your cold hands hardly hold the weary pen : 	b
1249	And what is the future, happy one? 	b
1250	Sunk to peace the twilight breeze : 	b
1251	A mighty, glorious, dazzling sea, 	b
1252	Stretching into infinity. 	b
1253	The inspiring music's thrilling sound, 	b
1254	No, Earth would wish no other sphere 	b
1255	The glittering splendour rising round, 	b
1256	Yet of the native shepherds none, 	b
1257	So stilly round the evening falls ; 	b
1258	To keep my honour fair ; 	b
1259	Covering her brow to hide the tear 	b
1260	The shepherd placed a seat and pressed 	b
1261	From it the torrents flow ? 	b
1262	Never put back that golden flow 	b
1263	That murmur to the breezes' call 	b
1264	The laden bee flew home, 	b
1265	And raised the covering from his brow, 	b
1266	* Nay, call me not ; it may not be ; 	b
1267	Still spoke to me of years gone by ; 	b
1268	Earth rising to heaven and heaven descending ; 	b
1269	Man's spirit away from the drear dungeon sending, 	b
1270	And sound and sight had well combined 	b
1271	All down the mountain-sides wild forests lending 	b
1272	The mighty voice to the life-giving wind ; 	b
1273	With dying torments riven 	b
1274	Fast through the valleys a reckless course wending, 	b
1275	The withering corpse to me. 	b
1276	The busy day has glided by, 	b
1277	For not through age, and not through crime, 	b
1278	Of the golden-gifted time ; 	b
1279	And, Douglas ! thou shalt be 	b
1280	When my sad soul forgot its pride 	b
1281	Since cast from off thine angel brow 	b
1282	Woods, you need not frown on me ; 	b
1283	I have suffered on thro' night and day ; 	b
1284	To know where she is laid. 	b
1285	You need not mock so bitterly. 	b
1286	Thy silvery form, so soft and fair, 	b
1287	I watched how evening took the place 	b
1288	And, far away, down Elmor scars 	b
1289	* The birds that now so blithely sing, 	b
1290	And warms the breezy air. 	b
1291	The waste of youth, the waste of years, 	b
1292	COME walk with me, 	b
1293	And still the words and still the tone 	b
1294	I dream of moor, and misty hill, 	b
1295	In all the hours of gloom 	b
1296	Will find a heart to bear. 	b
1297	WELL narrower draw the circle round, 	b
1298	Laid low in dust their Dryad-hair. 	b
1299	Through the long nights of angry weather, 	b
1300	When parted ghosts might come, 	b
1301	Above their prisoned dust to grieve 	b
1302	Its twilight hours and evenings dark 	b
1303	Whose waves are foaming far and wide. 	b
1304	One gush of ardent prayer. 	b
1305	Forget the hopes of years : 	b
1306	With the radiant red of furnace flames 	b
1307	Senselessly has lain. 	b
1308	To the discord of lute-strings all unstrung. 	b
1309	My robes, and smooth my tangled hair ; 	b
1310	And constant sorrow on my brow 	b
1311	The saints shall shelter thee from harm. 	b
1312	And spread with smiles the evening meal ; 	b
1313	In years by time long left behind ; 	b
1314	TO A WREATH OF SNOW 	b
1315	When I began to pray. 	b
1316	And still it bent above, 	b
1317	They come sailing on, 	b
1318	How oft have I forgot my God, 	b
1319	Yet my heart loves December's smile 	b
1320	That tracks the boundless blue. 	b
1321	Paints her image on the mind. 	b
1322	Of gazing in thine eyes. 	b
1323	And think the fearful vision o'er. 	b
1324	The blossoms to deck my home with the dead. 	b
1325	Tis like the heaven which parting days 	b
1326	The idol chiefs of all. 	b
1327	As if grown weary of the light 	b
1328	When its lips opened and a sound 	b
1329	Awoke the stillness reigning round, 	b
1330	Faint as a dream, but the earth shrank, 	b
1331	And truly like a god she seems, 	b
1332	Woe for the day ! Regina's pride, 	b
1333	Retracing back her lifetime flown ; 	b
1334	And thus in strange response he spoke. 	b
1335	The circling hills to kiss. 	b
1336	Where fairer forms in darkness lie ; 	b
1337	That time is treasuring up for me. 	b
1338	Sound through the granite glen ; 	b
1339	All vague and undefined ? 	b
1340	That sad lament was ringing ; 	b
1341	Twill break for thee. 	b
1342	Such dreamy, dreary singing. 	b
1343	Aware her last hour approaching fast, 	b
1344	Of mirror broken on the grass, 	b
1345	Watch for a bird with sable wing, 	b
1346	And weaker minds would fear. 	b
1347	I listened to thy mournful sighing. 	b
1348	Were by a faint breeze blown ; 	b
1349	I knew the source whence sprung those tears 	b
1350	They raise their eyes, for the sunny skies 	b
1351	Reveal ; where o'er a lone green wood 	b
1352	How well my spirit knows the path 	b
1353	Was given me in that silent hour 	b
1354	In a yeoman's home-close grew ; 	b
1355	In cell and cloister drear ; 	b
1356	At last the sunshine left the ground, 	b
1357	The bright blue flowers and velvet sod, 	b
1358	Were strange conductors to the bowers 	b
1359	I need not fear my foes, 	b
1360	Aid for that which lies before. 	b
1361	In a grave that never shuts its dead 	b
1362	Gazed o'er the sands the waves efface 	b
1363	In cloudy morning clothed the sky. 	b
1364	Come, sit down on this sunny stone ; 	b
1365	I saw His wisdom infinite, 	b
1366	In her uncovered eye ; 	b
1367	But beneath the earth is midnight 	b
1368	Waiting to hear the lingering feet 	b
1369	And whistles round the gloomy wall, 	b
1370	And lingering long, and thinking grieves, 	b
1371	How it longed how it burned to be free ! 	b
1372	And no one laughed, and none seemed free from 	b
1373	He wakens, and how ghastly white 	b
1374	By whom all things were made ; 	b
1375	So, resting on a heathy bank, 	b
1376	And will sustain when thou art gone. 	b
1377	me mourn ; 	b
1378	An anguish in his bosom now ; 	b
1379	COMPANIONS all day long we 've stood 	b
1380	Fixed strainedly on the vacant air ; 	b
1381	His wisdom so divine, 	b
1382	Weak, wretched sinner though I be, 	b
1383	Sleeping silently and still, 	b
1384	On Eversham's woody brow. 	b
1385	That living, is not nobler now 	b
1386	Too full to hide their tears, too stern to overflow ; 	b
1387	To see the sunshine disappear ; 	b
1388	The breeze sings like a summer breeze 	b
1389	Then silent weep J cannot weep, 	b
1390	Cut off from hope in early day, 	b
1391	From earth and glory cut away. 	b
1392	That haunts his feudal home ; 	b
1393	Must image forth the scowl of night, 	b
1394	And childhood's flower must waste its bloom 	b
1395	Beneath the shadow of the tomb. 	b
1396	Though vengeance held a sheathed sword 	b
1397	And still did evening fall ; 	b
1398	Through infinite immensity. 	b
1399	Wave gently round her head. 	b
1400	Tells what once those features were, 	b
1401	By that celestial shine I 	b
1402	And the dying their last watch were keeping 	b
1403	Let us be laid in lasting rest, 	b
1404	Lost their robes of tender green ? 	b
1405	That I should greet approaching feet, 	b
1406	Half the sweet, the haunting smile ; 	b
1407	Other desires and other hopes beset me, 	b
1408	There is a voice in the wind that waves 	b
1409	And pleasure tune its chords again. 	b
1410	And my eyes cannot hold the tears 	b
1411	Was it some feeling of delight, 	b
1412	From the time of morning's earliest dew 	b
1413	Blasts with that oath his perjured soul, 	b
1414	Kindle a short and bitter smile, 	b
1415	The sun of evening died, 	b
1416	Sleep, stilly sleep, thou bright-haired child, 	b
1417	Its large dark eyes of shadowy light, 	b
1418	Waveless and calm lies that silent deep 	b
1419	They fleck with shade our mountains bright 	b
1420	A little longer in this reverie : 	b
1421	Upon its heathy shores. 	b
1422	But not a dream of sleep ; 	b
1423	Ah ! could my hand unlock its chain, 	b
1424	Were off like light again. 	b
1425	For every torturing tear. 	b
1426	And chained was every tongue. 	b
1427	To mourn o'er what I mourn. 	b
1428	God ! bless her sun with victory, 	b
1429	In some warm nook a couch to find. 	b
1430	strong and far : 	b
1431	Fluttering from the autumn tree. 	b
1432	That through the shadows shone 	b
1433	The languid lid would close, 	b
1434	Though I no more may watchful bend 	b
1435	Through dreams where startling imagery 	b
1436	Can no memory now recall 	b
1437	Home to their journey's end ; 	b
1438	ALONE I sat ; the summer day 	b
1439	Had died in smiling light away ; 	b
1440	Returning to my breast again. 	b
1441	For past misery are we weeping? 	b
1442	I will sail the desert sea. 	b
1443	Roams in the dawn of day ; 	b
1444	The harvest-moon looks down ; 	b
1445	Look on those woods, look on that mountain lorn, 	b
1446	I '11 hide it in my heart no more, 	b
1447	Then why is all so sad and lone? 	b
1448	How invincible its roar, 	b
1449	A shattered wreck on ocean's tide, 	b
1450	But that at Ambition's bidding, 	b
1451	The heart so long endeared to thee, 	b
1452	Are you a hawk to follow the prey, 	b
1453	Till death shall sound his signal cry, 	b
1454	Visions by ardent fancy fed 	b
1455	And yet a dreamlike comfort came 	b
1456	But now, when I had hoped to sing, 	b
1457	My fingers strike a tuneless string ; 	b
1458	Who bound us in one vigorous whole 	b
1459	Still clung she to his bridle rein 	b
1460	Yet have I read these falcon eyes, 	b
1461	He faintly prayed, < O Death, delay 	b
1462	But a tyrant spell has bound me, 	b
1463	'Tis like old age pretending 	b
1464	Roofless, crumbling to the ground ; 	b
1465	Their bare boughs weighed with snow, 	b
1466	We both together struck the blow ; 	b
1467	And yet I cannot go. 	b
1468	OH, all the cares these noontide airs 	b
1469	Wastes beyond wastes below ; 	b
1470	When the sun first crowned the hill, 	b
1471	Beneath these sullen skies? 	b
1472	I 'LL come when thou art saddest, 	b
1473	Bring light to the darkened room, 	b
1474	When the rude day's mirth has vanished, 	b
1475	Spirit of bliss ! what brings thee here, 	b
1476	Long he gazed and held his breath, 	b
1477	I '11 come when the heart's worst feeling 	b
1478	Has entire, unbiassed sway, 	b
1479	But some I read so well, 	b
1480	And gives to fancy magic power 	b
1481	It was a summer day that saw 	b
1482	Listen ! 'tis just the hour, 	b
1483	But who reads not through the tender glow 	b
1484	But thank your passion not for me ! 	b
1485	A flood of strange sensations roll, 	b
1486	Forerunners of a sterner power, 	b
1487	Heralds of me? 	b
1488	THE soft unclouded blue of air, 	b
1489	Shining through darkness, sweetly spoke 	b
1490	How daredst thou wake thoughts in me, 	b
1491	And lived upon this weary Earth 	b
1492	But then I knew that he stood free, 	b
1493	Was it the smile of early spring 	b
1494	And then I felt . . . \unfinished\. 	b
1495	Now trust a heart that trusts in you, 	b
1496	Douglas leaned above the well ; 	b
1497	And may not be forgiven. 	b
1498	My heart is with your heart at home ; 	b
1499	cold, cold is my heart ! 	b
1500	We both were scorned, both sternly driven 	b
1501	Over his own unhappy soul ; 	b
1502	Unless I change in every thought, 	b
1503	And memory will restore me nought, 	b
1504	Look now she rests below, 	b
1505	The clouds are earthward yearning ; 	b
